iter	Logloss
0	0.6737637435
1	0.6561081559
2	0.6399033434
3	0.624436556
4	0.6120608958
5	0.6002650789
6	0.58952967
7	0.5780798493
8	0.569723791
9	0.5597982944
10	0.5522645187
11	0.5435916704
12	0.5358542292
13	0.5288431807
14	0.522130776
15	0.5162493977
16	0.509556605
17	0.50310452
18	0.497330526
19	0.4924777364
20	0.4884110803
21	0.4831209443
22	0.4791619032
23	0.4734326798
24	0.4693329916
25	0.4655562775
26	0.4616974399
27	0.4583281981
28	0.4544292596
29	0.4517470673
30	0.4492964064
31	0.446963885
32	0.444136522
33	0.4411401206
34	0.4381078902
35	0.4358663351
36	0.4341839042
37	0.4309765303
38	0.429228996
39	0.426652629
40	0.423455796
41	0.4211089559
42	0.4195023593
43	0.4172124889
44	0.4151740556
45	0.4134977067
46	0.4121802094
47	0.4109025039
48	0.4095392733
49	0.4075176428
50	0.4064412019
51	0.405328048
52	0.4041944657
53	0.403461661
54	0.4021184688
55	0.4005645682
56	0.3989605607
57	0.3980971476
58	0.3963582652
59	0.3953800401
60	0.3945259096
61	0.3936670078
62	0.3929317516
63	0.3922509551
64	0.391702051
65	0.3897875885
66	0.3893359028
67	0.3883468521
68	0.3869878953
69	0.3857702112
70	0.3853555272
71	0.3848132598
72	0.3838037096
73	0.3831555321
74	0.382521097
75	0.3820694171
76	0.3817188705
77	0.3812939936
78	0.3798729324
79	0.3794534449
80	0.3788944639
81	0.3776232351
82	0.3772387723
83	0.3764751455
84	0.3757760625
85	0.375498209
86	0.3746683746
87	0.3743635469
88	0.3741164854
89	0.3737525702
90	0.3727798058
91	0.3723881933
92	0.3720473769
93	0.3718145104
94	0.3715532035
95	0.3711728276
96	0.3709538511
97	0.370414309
98	0.3701824184
99	0.370002873
100	0.3694510653
101	0.3687834882
102	0.3685443921
103	0.3683545962
104	0.3680009991
105	0.3674025035
106	0.366899894
107	0.366705445
108	0.3660965591
109	0.3658471485
110	0.3655592308
111	0.3652706381
112	0.3651373683
113	0.3649163851
114	0.3647710486
115	0.3642026398
116	0.3640235386
117	0.3638617096
118	0.3637323011
119	0.3636111093
120	0.3633542326
121	0.3631471538
122	0.3626277551
123	0.3622039439
124	0.3620796213
125	0.361898219
126	0.3617711797
127	0.3609162428
128	0.3607416864
129	0.3606310717
130	0.3605121351
131	0.3601575732
132	0.3600565423
133	0.3599079071
134	0.3597026042
135	0.3595718764
136	0.3592195539
137	0.3591405127
138	0.3590327518
139	0.3589324511
140	0.3587299515
141	0.3586009576
142	0.3585012553
143	0.3580649875
144	0.3579733533
145	0.357882569
146	0.3577890971
147	0.3577028257
148	0.3575891915
149	0.3568894854
150	0.3567523517
151	0.3565153045
152	0.3564210035
153	0.3561760446
154	0.3560837541
155	0.3559859253
156	0.3559083471
157	0.3558208437
158	0.355715321
159	0.3556150129
160	0.3554901366
161	0.3554185268
162	0.3553284838
163	0.3551646609
164	0.3547901584
165	0.3547172902
166	0.3546507164
167	0.3545658712
168	0.3544851769
169	0.3544145306
170	0.3541883308
171	0.3540302616
172	0.3539585789
173	0.3538603729
174	0.3537424597
175	0.3536812303
176	0.353543116
177	0.3534521241
178	0.3533582729
179	0.3532709055
180	0.3531950909
181	0.3529681682
182	0.3528909954
183	0.3528259913
184	0.3527604765
185	0.3523188903
186	0.3522351129
187	0.352122721
188	0.3520413908
189	0.3517913976
190	0.3516696176
191	0.3511154323
192	0.351058549
193	0.3509848275
194	0.3508086176
195	0.350756197
196	0.3506934784
197	0.3506311838
198	0.3505613278
199	0.3505015819
200	0.3504321717
201	0.3503563815
202	0.3502564803
203	0.3501694542
204	0.3500949822
205	0.3499644393
206	0.3498635347
207	0.3497867983
208	0.3497052389
209	0.3496200365
210	0.3495444621
211	0.3494667295
212	0.3493859837
213	0.3488904064
214	0.3488249354
215	0.3487431411
216	0.3486871633
217	0.3486229535
218	0.3485424862
219	0.3484898138
220	0.348413626
221	0.3483338616
222	0.3482745234
223	0.3478713673
224	0.3477981696
225	0.3477110511
226	0.3476407959
227	0.34759318
228	0.347546876
229	0.3474935228
230	0.3474340874
231	0.347227262
232	0.3471746282
233	0.3471115106
234	0.3470480645
235	0.3469928408
236	0.3469155704
237	0.3468695135
238	0.3468047726
239	0.3467307386
240	0.346633091
241	0.3465670568
242	0.3462921229
243	0.3462306689
244	0.3461722739
245	0.3461085227
246	0.3460529292
247	0.3459840544
248	0.3459455785
249	0.3458670486
250	0.3457783477
251	0.345712307
252	0.3456643703
253	0.3456101215
254	0.3455297078
